extroversion,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional,control
Agree moderately,Disagree a little,Neither agree nor disagree,Disagree moderately,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree a little,Yes
Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Yes
Agree a little,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree moderately,Disagree moderately,Yes
Neither agree nor disagree,Agree a little,Disagree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree moderately,Yes
Agree a little,Agree moderately,Agree a little,Agree moderately,Agree strongly,Disagree a little,Agree a little,Disagree moderately,Disagree a little,Disagree moderately,Yes
Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Agree moderately,No
Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Disagree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,No
Agree strongly,,Neither agree nor disagree,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree strongly,Yes
Agree moderately,Agree moderately,Disagree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,No
Agree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree strongly,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Yes
Disagree a little,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Agree a little,Agree a little,Disagree a little,Disagree moderately,Yes
Disagree a little,Agree a little,Disagree a little,Agree moderately,Agree moderately,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Disagree strongly,Yes
Agree a little,Agree moderately,Agree moderately,Agree strongly,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,No
Agree strongly,Disagree moderately,Agree strongly,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree strongly,Yes
Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree moderately,Disagree a little,No
Agree moderately,Agree a little,Agree strongly,Disagree a little,Disagree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,No
Agree moderately,Disagree a little,Agree strongly,Disagree a little,Agree a little,Disagree strongly,Agree a little,Disagree moderately,Agree strongly,Agree a little,No
Agree moderately,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree moderately,Agree moderately,Agree a little,No
Agree strongly,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree a little,Agree moderately,Agree a little,Agree moderately,Agree a little,Yes
Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Yes
Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,Yes
Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Yes
Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Agree a little,Yes
Agree moderately,Agree a little,Disagree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No
Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Yes
Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree moderately,Yes
Disagree a little,Disagree moderately,Agree moderately,Disagree a little,Agree strongly,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Yes
Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Disagree moderately,Agree strongly,Disagree strongly,Yes
Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree moderately,Disagree a little,Disagree moderately,No
